    slice_name        slice_value  precision    recall     fbeta
0        total              total   0.749038  0.611181  0.673123
1    education               10th   0.500000  0.111111  0.181818
2    education               11th   1.000000  0.363636  0.533333
3    education               12th   1.000000  0.300000  0.461538
4    education            1st-4th   1.000000  0.500000  0.666667
5    education            5th-6th   1.000000  0.333333  0.500000
6    education            7th-8th   0.500000  0.142857  0.222222
7    education                9th   1.000000  0.000000  0.000000
8    education         Assoc-acdm   0.680851  0.653061  0.666667
9    education          Assoc-voc   0.684211  0.573529  0.624000
10   education          Bachelors   0.775362  0.705495  0.738780
11   education          Doctorate   0.815385  0.883333  0.848000
12   education            HS-grad   0.641148  0.387283  0.482883
13   education            Masters   0.850000  0.780612  0.813830
14   education          Preschool   1.000000  1.000000  1.000000
15   education        Prof-school   0.828283  0.942529  0.881720
16   education       Some-college   0.690141  0.530686  0.600000
17         sex             Female   0.733333  0.523810  0.611111
18         sex               Male   0.751564  0.627612  0.684018
19  occupation                  ?   0.652174  0.357143  0.461538
20  occupation       Adm-clerical   0.586667  0.403670  0.478261
21  occupation       Armed-Forces   1.000000  1.000000  1.000000
22  occupation       Craft-repair   0.672000  0.449198  0.538462
23  occupation    Exec-managerial   0.810440  0.754476  0.781457
24  occupation    Farming-fishing   0.500000  0.250000  0.333333
25  occupation  Handlers-cleaners   0.600000  0.166667  0.260870
26  occupation  Machine-op-inspct   0.666667  0.372093  0.477612
27  occupation      Other-service   0.833333  0.131579  0.227273
28  occupation    Priv-house-serv   1.000000  1.000000  1.000000
29  occupation     Prof-specialty   0.791892  0.753213  0.772069
30  occupation    Protective-serv   0.766667  0.657143  0.707692
31  occupation              Sales   0.750000  0.602871  0.668435
32  occupation       Tech-support   0.642857  0.750000  0.692308
33  occupation   Transport-moving   0.642857  0.435484  0.519231
