    slice_name        slice_value  precision    recall     fbeta
0        total              total   0.742529  0.624356  0.678334
1    education               10th   0.555556  0.416667  0.476190
2    education               11th   1.000000  0.352941  0.521739
3    education               12th   0.333333  0.250000  0.285714
4    education            1st-4th   1.000000  0.000000  0.000000
5    education            5th-6th   1.000000  0.000000  0.000000
6    education            7th-8th   0.000000  0.000000  0.000000
7    education                9th   1.000000  0.111111  0.200000
8    education         Assoc-acdm   0.772727  0.653846  0.708333
9    education          Assoc-voc   0.692308  0.553846  0.615385
10   education          Bachelors   0.752998  0.751196  0.752096
11   education          Doctorate   0.886792  0.824561  0.854545
12   education            HS-grad   0.685000  0.382682  0.491039
13   education            Masters   0.800000  0.780488  0.790123
14   education          Preschool   1.000000  1.000000  1.000000
15   education        Prof-school   0.847826  0.939759  0.891429
16   education       Some-college   0.663717  0.563910  0.609756
17         sex             Female   0.740964  0.534783  0.621212
18         sex               Male   0.742757  0.639939  0.687525
19  occupation                  ?   0.533333  0.410256  0.463768
20  occupation       Adm-clerical   0.729730  0.519231  0.606742
21  occupation       Armed-Forces   1.000000  1.000000  1.000000
22  occupation       Craft-repair   0.652893  0.413613  0.506410
23  occupation    Exec-managerial   0.756281  0.777778  0.766879
24  occupation    Farming-fishing   1.000000  0.521739  0.685714
25  occupation  Handlers-cleaners   1.000000  0.222222  0.363636
26  occupation  Machine-op-inspct   0.480000  0.292683  0.363636
27  occupation      Other-service   0.800000  0.148148  0.250000
28  occupation    Priv-house-serv   1.000000  1.000000  1.000000
29  occupation     Prof-specialty   0.784091  0.758242  0.770950
30  occupation    Protective-serv   0.771429  0.613636  0.683544
31  occupation              Sales   0.751515  0.645833  0.694678
32  occupation       Tech-support   0.692308  0.692308  0.692308
33  occupation   Transport-moving   0.750000  0.342857  0.470588
